# filename   modelflag	mass		rate		   angle

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_03_05.dat     1       8.0             0.3               0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_03_075.dat    1       8.0             0.3               0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_03_1.dat      1       8.0             0.3               1.0

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_08_01.dat     1       8.0             0.8               0.1
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_08_025.dat    1       8.0             0.8               0.25
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_08_05.dat     1       8.0             0.8               0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_08_075.dat    1       8.0             0.8               0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_08_1.dat      1       8.0             0.8               1.0

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_1_01.dat      1       8.0             1.0               0.1
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_1_025.dat     1       8.0             1.0               0.25
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_1_05.dat      1       8.0             1.0               0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_1_075.dat     1       8.0             1.0               0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k8_1_1.dat       1       8.0             1.0               1.0

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_001_01.dat    1       9.0             0.01              0.1
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_001_025.dat   1       9.0             0.01              0.25
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_001_05.dat    1       9.0             0.01              0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_001_075.dat   1       9.0             0.01              0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_001_1.dat     1       9.0             0.01              1.0

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_01_01.dat     1       9.0             0.1               0.1
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_01_025.dat    1       9.0             0.1               0.25
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_01_05.dat     1       9.0             0.1               0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_01_075.dat    1       9.0             0.1               0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_01_1.dat      1       9.0             0.1               1.0

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_03_01.dat     1       9.0             0.3               0.1
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_03_025.dat    1       9.0             0.3               0.25
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_03_05.dat     1       9.0             0.3               0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_03_075.dat    1       9.0             0.3               0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_03_1.dat      1       9.0             0.3               1.0

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_08_01.dat     1       9.0             0.8               0.1
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_08_025.dat    1       9.0             0.8               0.25
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_08_05.dat     1       9.0             0.8               0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_08_075.dat    1       9.0             0.8               0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_08_1.dat      1       9.0             0.8               1.0

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_1_01.dat      1       9.0             1.0               0.1
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_1_025.dat     1       9.0             1.0               0.25
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_1_05.dat      1       9.0             1.0               0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_1_075.dat     1       9.0             1.0               0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k9_1_1.dat       1       9.0             1.0               1.0

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_001_01.dat   1       10.0            0.01              0.1
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_001_025.dat  1       10.0            0.01              0.25
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_001_05.dat   1       10.0            0.01              0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_001_075.dat  1       10.0            0.01              0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_001_1.dat    1       10.0            0.01              1.0

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_01_01.dat    1       10.0            0.1               0.1
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_01_025.dat   1       10.0            0.1               0.25
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_01_05.dat    1       10.0            0.1               0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_01_075.dat   1       10.0            0.1               0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_01_1.dat     1       10.0            0.1               1.0

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_03_01.dat    1       10.0            0.3               0.1
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_03_025.dat   1       10.0            0.3               0.25
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_03_05.dat    1       10.0            0.3               0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_03_075.dat   1       10.0            0.3               0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_03_1.dat     1       10.0            0.3               1.0

/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_08_01.dat    1       10.0            0.8               0.1
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_08_025.dat   1       10.0            0.8               0.25
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_08_05.dat    1       10.0            0.8               0.5
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_08_075.dat   1       10.0            0.8               0.75
/data/qednew/q4b/aneta/aneta/Kerr/MODELS/KBB_aas/k10_08_1.dat     1       10.0            0.8               1.0 
