# T dummy modelflag filename
2000 0 1 bb_2000.dat
2050 0 1 bb_2050.dat
2100 0 1 bb_2100.dat
2150 0 1 bb_2150.dat
2200 0 1 bb_2200.dat
2250 0 1 bb_2250.dat
2300 0 1 bb_2300.dat
2350 0 1 bb_2350.dat
2400 0 1 bb_2400.dat
2450 0 1 bb_2450.dat
2500 0 1 bb_2500.dat
2550 0 1 bb_2550.dat
2600 0 1 bb_2600.dat
2650 0 1 bb_2650.dat
2700 0 1 bb_2700.dat
2750 0 1 bb_2750.dat
2800 0 1 bb_2800.dat
2850 0 1 bb_2850.dat
2900 0 1 bb_2900.dat
2950 0 1 bb_2950.dat
