#zabs1.nh	p1.gamma	p1.ampl
0.0872113431031	1.26764544642	0.000699751823872
0.0891231913028	1.27189059844	0.000702257165272
0.0886650383558	1.27343544333	0.000701811069501
0.0984553198272	1.2881269727	0.000713226362368
0.0914272610093	1.26916215499	0.000704831851423
0.0787864113851	1.25505295757	0.000691174292243
0.0814730096358	1.26306471318	0.00069588220158
0.0877240140884	1.25799710131	0.000696978499499
0.094088810593	1.27478263704	0.000706905831102
0.085489704553	1.25824405589	0.000692601683586
0.0886801315126	1.28015699732	0.000702894858347
0.0850150452127	1.25916353306	0.000696288232274
0.0908189690669	1.26814027088	0.000704635489881
0.0805349609729	1.26518639604	0.000692844566807
0.0818406102734	1.24849841375	0.000688537603649
0.0819797269423	1.24622020341	0.000686159879222
0.0880516491856	1.26261060339	0.000700062287824
0.0877841842294	1.26416111051	0.000695543323111
0.0812018778524	1.25339791418	0.000689338493493
0.096470316168	1.28173866941	0.000709823572837
0.083806398339	1.2557709695	0.000693601763818
0.0837299619452	1.25065204982	0.000691880815224
0.0876428899071	1.28214644925	0.000704675704795
0.0910365680399	1.27157857489	0.000703515484518
0.0836160061542	1.26601090713	0.000698938724194
0.0926255240897	1.28178575893	0.000709131314852
0.085391046625	1.2562237199	0.000698736521129
0.090309060918	1.27251192489	0.00070440217762
0.0868212412997	1.27109149346	0.000701192534349
0.0881938708043	1.28329458151	0.000705107865643
0.0821851779237	1.26154879174	0.000690592304018
0.0854565133248	1.25909845812	0.0006971681932
0.0858675086474	1.26069466574	0.000702762772248
0.0909020050309	1.27528070691	0.000707357703329
0.0890473160319	1.27319951989	0.00070302025586
0.0880614704315	1.26714049493	0.000701904104786
0.0844161343897	1.26109982198	0.00069307276242
0.086399787804	1.28151673844	0.000700554439394
0.0927725424641	1.28758488493	0.000709417420095
0.0965735077783	1.29270044164	0.000714848614791
0.0862422175679	1.26935998017	0.000696013322233
0.0845277723998	1.25799289356	0.000691627192904
0.0938807869413	1.27995901527	0.00070806299183
0.0790037322441	1.24927015821	0.000686038685792
0.0818707408709	1.25174067767	0.000689396288131
0.0849990834338	1.25601019978	0.000690883414445
0.0885952915378	1.27370806873	0.000708204450728
0.083959444928	1.26249671011	0.000696351395895
0.0892272404323	1.27774016599	0.000703314704923
0.083839241164	1.26524058231	0.000695810702145
0.0908584038249	1.28360884243	0.000708880570781
0.0790200645024	1.25564232919	0.000689616094145
0.0955314159613	1.29674256516	0.000718965701535
0.0867395019921	1.26578795346	0.000696639722811
0.0827214837348	1.25708269049	0.000687816677027
0.0839736179102	1.26234514779	0.000697384944511
0.0862950455199	1.27940258452	0.000704744419782
0.0886054720904	1.266395961	0.000702548641164
0.0811388398309	1.25163380426	0.000689764723616
0.0801525870628	1.26021464156	0.000691406756323
0.0805198288457	1.24668661907	0.000687180256305
0.0851569494586	1.27149084425	0.000701174519956
